filename,width,height,class,xmin,ymin,xmax,ymax
1509.jpg,128,128,Impetigo,65,100,86,124
1509.jpg,128,128,Impetigo,67,46,82,58
1509.jpg,128,128,Impetigo,82,17,94,32
1509.jpg,128,128,Impetigo,29,88,37,98
431.jpg,128,128,Carcinoma,30,59,61,81
857.jpg,128,128,Cellulitis,50,33,94,72
1555.jpg,128,128,Impetigo,10,30,34,55
1555.jpg,128,128,Impetigo,46,34,87,80
1499.jpg,128,128,Impetigo,34,32,67,80
1499.jpg,128,128,Impetigo,24,88,41,113
972.jpg,128,128,Chickenpox,48,36,78,56
972.jpg,128,128,Chickenpox,50,66,63,74
972.jpg,128,128,Chickenpox,90,93,100,103
972.jpg,128,128,Chickenpox,61,25,69,33
972.jpg,128,128,Chickenpox,107,15,118,23
972.jpg,128,128,Chickenpox,74,101,87,120
2519.jpg,128,128,Wart,45,24,115,78
646.jpg,128,128,Carbuncle,31,34,78,94
1983.jpg,128,128,Melanoma,69,55,86,78
233.jpg,128,128,Carcinoma,41,55,81,100
1397.jpg,128,128,Herpes Virus,12,44,76,90
1397.jpg,128,128,Herpes Virus,19,12,113,51
1841.jpg,128,128,Melanoma,41,23,89,91
1132.jpg,128,128,Cold Sore,35,66,64,102
1469.jpg,128,128,Hives,13,7,62,49
1469.jpg,128,128,Hives,42,80,69,128
1469.jpg,128,128,Hives,75,29,109,50
1773.jpg,128,128,Measles,6,12,47,58
1773.jpg,128,128,Measles,90,5,120,28
167.jpg,128,128,Bacterial Infection,17,17,109,120
834.jpg,128,128,Cellulitis,19,13,93,118
2492.jpg,128,128,Wart,73,38,93,58
1599.jpg,128,128,Impetigo,37,7,69,32
1599.jpg,128,128,Impetigo,23,43,117,87
1599.jpg,128,128,Impetigo,58,100,107,127
1857.jpg,128,128,Melanoma,43,42,71,77
1990.jpg,128,128,Melanoma,26,9,99,103
1420.jpg,128,128,Hives,11,1,73,45
1420.jpg,128,128,Hives,15,74,35,97
1420.jpg,128,128,Hives,90,36,112,59
1420.jpg,128,128,Hives,67,57,88,74
642.jpg,128,128,Carbuncle,39,59,73,80
171.jpg,128,128,Bacterial Infection,16,51,109,124
171.jpg,128,128,Bacterial Infection,59,2,112,45
889.jpg,128,128,Chickenpox,13,63,71,109
952.jpg,128,128,Chickenpox,39,49,73,78
952.jpg,128,128,Chickenpox,42,108,57,128
784.jpg,128,128,Cellulitis,25,26,98,61
784.jpg,128,128,Cellulitis,50,70,73,85
1092.jpg,128,128,Chickenpox,52,49,80,74
1092.jpg,128,128,Chickenpox,30,17,106,42
1092.jpg,128,128,Chickenpox,93,42,117,64
1540.jpg,128,128,Impetigo,25,14,117,121
42.jpg,128,128,Actinic,53,46,87,79
686.jpg,128,128,Carbuncle,48,39,82,96
471.jpg,128,128,Carcinoma,48,44,83,71
986.jpg,128,128,Chickenpox,49,13,77,36
986.jpg,128,128,Chickenpox,25,28,44,43
986.jpg,128,128,Chickenpox,55,81,65,96
2303.jpg,128,128,Psoriasis,12,42,120,115
2303.jpg,128,128,Psoriasis,40,4,119,40
1416.jpg,128,128,Hives,10,71,54,116
1416.jpg,128,128,Hives,83,80,127,119
2025.jpg,128,128,Melanoma,18,17,110,100
2395.jpg,128,128,Pyoderma Gangrenosum,1,24,26,74
2395.jpg,128,128,Pyoderma Gangrenosum,39,71,74,109
2395.jpg,128,128,Pyoderma Gangrenosum,35,7,85,54
1595.jpg,128,128,Impetigo,38,31,116,86
1595.jpg,128,128,Impetigo,9,100,34,117
1595.jpg,128,128,Impetigo,57,103,108,125
891.jpg,128,128,Chickenpox,101,24,122,47
891.jpg,128,128,Chickenpox,26,51,42,71
891.jpg,128,128,Chickenpox,49,90,96,110
891.jpg,128,128,Chickenpox,1,106,19,118
891.jpg,128,128,Chickenpox,22,13,30,24
1806.jpg,128,128,Melanoma,41,58,68,91
1099.jpg,128,128,Chickenpox,18,83,26,94
1099.jpg,128,128,Chickenpox,64,47,72,58
1099.jpg,128,128,Chickenpox,17,5,29,17
1099.jpg,128,128,Chickenpox,97,81,106,90
1099.jpg,128,128,Chickenpox,77,14,88,25
1882.jpg,128,128,Melanoma,33,45,56,62
740.jpg,128,128,Cellulitis,35,45,96,84
794.jpg,128,128,Cellulitis,15,27,124,93
1274.jpg,128,128,Nail Fungal Infection,58,17,89,50
1274.jpg,128,128,Nail Fungal Infection,93,52,123,81
1274.jpg,128,128,Nail Fungal Infection,10,29,44,64
1604.jpg,128,128,Impetigo,25,37,99,96
661.jpg,128,128,Carbuncle,15,20,57,80
1030.jpg,128,128,Chickenpox,60,65,117,97
1030.jpg,128,128,Chickenpox,18,94,30,116
305.jpg,128,128,Carcinoma,51,58,81,96
1864.jpg,128,128,Melanoma,45,44,71,77
2158.jpg,128,128,Pemphigoid,2,55,37,106
2158.jpg,128,128,Pemphigoid,100,29,123,61
2158.jpg,128,128,Pemphigoid,82,14,96,37
2158.jpg,128,128,Pemphigoid,66,102,78,116
2158.jpg,128,128,Pemphigoid,73,65,107,91
2439.jpg,128,128,Squamous Carcinoma,20,18,117,119
890.jpg,128,128,Chickenpox,90,99,105,110
890.jpg,128,128,Chickenpox,102,76,113,90
890.jpg,128,128,Chickenpox,38,60,49,72
890.jpg,128,128,Chickenpox,97,44,106,53
890.jpg,128,128,Chickenpox,54,7,62,16
501.jpg,128,128,Carcinoma,57,60,84,80
702.jpg,128,128,Carbuncle,34,49,92,101
324.jpg,128,128,Carcinoma,31,36,94,99
2301.jpg,128,128,Psoriasis,6,55,121,125
2479.jpg,128,128,Wart,63,59,76,82
968.jpg,128,128,Chickenpox,75,21,95,62
968.jpg,128,128,Chickenpox,36,57,46,66
968.jpg,128,128,Chickenpox,78,111,92,128
968.jpg,128,128,Chickenpox,49,70,61,85
968.jpg,128,128,Chickenpox,20,28,38,42
33.jpg,128,128,Actinic,12,7,104,113
983.jpg,128,128,Chickenpox,15,11,85,116
1816.jpg,128,128,Melanoma,27,29,101,103
4.jpg,128,128,Actinic,52,44,82,78
2230.jpg,128,128,Psoriasis,1,9,49,123
2230.jpg,128,128,Psoriasis,84,11,128,106
716.jpg,128,128,Carbuncle,55,54,91,91
